Ensemblgeneid,Genename,UniProt,annotcategory
ENSG00000029534,ANK1,P16157,Intracellular or membrane-bound
ENSG00000029559,IBSP,P21815,Locally secreted
ENSG00000030582,GRN,P28799,Secreted to blood
ENSG00000033011,ALG1,Q9BT22,Intracellular or membrane-bound
ENSG00000033100,CHPF2,Q9P2E5,Intracellular or membrane-bound
ENSG00000034971,MYOC,Q99972,Locally secreted to extracellular matrix
ENSG00000035862,TIMP2,P16035,Locally secreted to extracellular matrix
ENSG00000036530,CYP46A1,Q9Y6A2,Intracellular or membrane-bound
ENSG00000037749,MFAP3,P55082,Intracellular or membrane-bound
ENSG00000038002,AGA,P20933,Intracellular or membrane-bound
ENSG00000038295,TLL1,O43897,Locally secreted to extracellular matrix
ENSG00000038427,VCAN,P13611,Secreted to blood
ENSG00000039537,C6,P13671,Secreted to blood
ENSG00000041982,TNC,P24821,Locally secreted to extracellular matrix
ENSG00000042493,CAPG,P40121,Intracellular or membrane-bound
ENSG00000042781,USH2A,O75445,Intracellular or membrane-bound
ENSG00000042813,ZPBP,Q9BS86,Locally secreted in male tissues
ENSG00000042832,TG,P01266,Locally secreted
ENSG00000042980,ADAM28,Q9UKQ2,Secreted to blood
ENSG00000044012,GUCA2B,Q16661,Secreted to blood
ENSG00000044524,EPHA3,P29320,Intracellular or membrane-bound
ENSG00000044574,HSPA5,P11021,Intracellular or membrane-bound
ENSG00000047457,CP,P00450,Secreted to blood
ENSG00000047648,ARHGAP6,O43182,Intracellular or membrane-bound
ENSG00000048649,RSF1,Q96T23,Intracellular or membrane-bound
ENSG00000049089,COL9A2,Q14055,Locally secreted to extracellular matrix
ENSG00000049130,KITLG,P21583,Intracellular or membrane-bound
ENSG00000049192,ADAMTS6,Q9UKP5,Locally secreted to extracellular matrix
ENSG00000049239,H6PD,O95479,Intracellular or membrane-bound
ENSG00000049247,UTS2,O95399,Secreted to blood
ENSG00000049323,LTBP1,Q14766,Locally secreted to extracellular matrix
ENSG00000049449,RCN1,Q15293,Intracellular or membrane-bound
ENSG00000049540,ELN,P15502,Locally secreted to extracellular matrix
ENSG00000049860,HEXB,P07686,Intracellular or membrane-bound
ENSG00000050165,DKK3,Q9UBP4,Locally secreted
ENSG00000050344,NFE2L3,Q9Y4A8,Intracellular or membrane-bound
ENSG00000050555,LAMC3,Q9Y6N6,Locally secreted to extracellular matrix
ENSG00000052344,PRSS8,Q16651,Secreted - unknown location
ENSG00000053108,FSTL4,Q6MZW2,Secreted to blood
ENSG00000053328,METTL24,Q5JXM2,Secreted - unknown location
ENSG00000053747,LAMA3,Q16787,Locally secreted to extracellular matrix
ENSG00000054803,CBLN4,Q9NTU7,Locally secreted in brain
ENSG00000054938,CHRDL2,Q6WN34,Locally secreted to extracellular matrix
ENSG00000054983,GALC,P54803,Intracellular or membrane-bound
ENSG00000055813,CCDC85A,Q96PX6,Intracellular or membrane-bound
ENSG00000055955,ITIH4,Q14624,Secreted to blood
ENSG00000055957,ITIH1,P19827,Secreted to blood
ENSG00000056291,NPFFR2,Q9Y5X5,Intracellular or membrane-bound
ENSG00000056736,IL17RB,Q9NRM6,Intracellular or membrane-bound
ENSG00000057663,ATG5,Q9H1Y0,Intracellular or membrane-bound
ENSG00000058085,LAMC2,Q13753,Locally secreted to extracellular matrix
ENSG00000060718,COL11A1,P12107,Locally secreted to extracellular matrix
ENSG00000061492,WNT8A,Q9H1J5,Locally secreted to extracellular matrix
ENSG00000062096,ARSF,P54793,Locally secreted
ENSG00000063180,CA11,O75493,Locally secreted in brain
ENSG00000063660,GPC1,P35052,Intracellular or membrane-bound
ENSG00000063761,ADCK1,Q86TW2,Secreted - unknown location
ENSG00000064205,WISP2,O76076,Locally secreted to extracellular matrix
ENSG00000064601,CTSA,P10619,Intracellular or membrane-bound
ENSG00000064703,DDX20,Q9UHI6,Intracellular or membrane-bound
ENSG00000064886,CHI3L2,Q15782,Secreted to blood
ENSG00000065320,NTN1,O95631,Locally secreted to extracellular matrix
ENSG00000065361,ERBB3,P21860,Secreted - unknown location
ENSG00000065427,KARS,Q15046,Intracellular or membrane-bound
ENSG00000065485,PDIA5,Q14554,Intracellular or membrane-bound
ENSG00000065618,COL17A1,Q9UMD9,Locally secreted to extracellular matrix
ENSG00000065911,MTHFD2,P13995,Intracellular or membrane-bound
ENSG00000065978,YBX1,P67809,Intracellular or membrane-bound
ENSG00000066056,TIE1,P35590,Intracellular or membrane-bound
ENSG00000066248,NGEF,Q8N5V2,Intracellular or membrane-bound
ENSG00000067248,DHX29,Q7Z478,Intracellular or membrane-bound
ENSG00000067596,DHX8,Q14562,Intracellular or membrane-bound
ENSG00000068120,COASY,Q13057,Intracellular or membrane-bound
ENSG00000068383,INPP5A,Q14642,Intracellular or membrane-bound
ENSG00000068912,ERLEC1,Q96DZ1,Intracellular or membrane-bound
ENSG00000069206,ADAM7,Q9H2U9,Intracellular or membrane-bound
ENSG00000069482,GAL,P22466,Secreted to blood
ENSG00000069702,TGFBR3,Q03167,Secreted to blood
ENSG00000069764,PLA2G10,O15496,Locally secreted
ENSG00000069998,HDHD5,Q9BXW7,Intracellular or membrane-bound
ENSG00000070031,SCT,P09683,Secreted to blood
ENSG00000070081,NUCB2,NA,Secreted to blood
ENSG00000070193,FGF10,O15520,Locally secreted
ENSG00000070388,FGF22,Q9HCT0,Locally secreted
ENSG00000070404,FSTL3,O95633,Locally secreted
ENSG00000070731,ST6GALNAC2,Q9UJ37,Intracellular or membrane-bound
ENSG00000070886,EPHA8,P29322,Intracellular or membrane-bound
ENSG00000071073,MGAT4A,Q9UM21,Locally secreted
ENSG00000071246,VASH1,Q7L8A9,Secreted to blood
ENSG00000071537,SEL1L,Q9UBV2,Intracellular or membrane-bound
ENSG00000071677,PRLH,P81277,Secreted - unknown location
ENSG00000071889,FAM3A,P98173,Secreted - unknown location
ENSG00000072042,RDH11,Q8TC12,Intracellular or membrane-bound
ENSG00000072080,SPP2,Q13103,Secreted to blood
ENSG00000072201,LNX1,Q8TBB1,Intracellular or membrane-bound
ENSG00000072274,TFRC,P02786,Secreted to blood
ENSG00000072682,P4HA2,O15460,Intracellular or membrane-bound
ENSG00000073008,PVR,P15151,Secreted - unknown location
ENSG00000073067,CYP2W1,Q8TAV3,Intracellular or membrane-bound
ENSG00000073169,SELENOO,Q9BVL4,Intracellular or membrane-bound
ENSG00000073737,DHRS9,Q9BPW9,Intracellular or membrane-bound
ENSG00000073754,CD5L,O43866,Secreted to blood
ENSG00000073849,ST6GAL1,P15907,Secreted to blood
ENSG00000074527,NTN4,Q9HB63,Locally secreted to extracellular matrix
ENSG00000074660,SCARF1,Q14162,Intracellular or membrane-bound
ENSG00000074842,MYDGF,Q969H8,Secreted to blood
ENSG00000075035,WSCD2,Q2TBF2,Intracellular or membrane-bound
ENSG00000075213,SEMA3A,Q14563,Locally secreted
ENSG00000075223,SEMA3C,Q99985,Locally secreted
ENSG00000075290,WNT8B,Q93098,Locally secreted to extracellular matrix
ENSG00000075388,FGF4,P08620,Locally secreted
ENSG00000075891,PAX2,Q02962,Intracellular or membrane-bound
ENSG00000076555,ACACB,O00763,Intracellular or membrane-bound
ENSG00000076716,GPC4,O75487,Intracellular or membrane-bound
ENSG00000077942,FBLN1,P23142,Locally secreted to extracellular matrix
ENSG00000077984,CST7,O76096,Secreted to blood
ENSG00000078070,MCCC1,Q96RQ3,Intracellular or membrane-bound
ENSG00000078098,FAP,Q12884,Secreted to blood
ENSG00000078246,TULP3,O75386,Secreted - unknown location
ENSG00000078401,EDN1,P05305,Secreted to blood
ENSG00000078579,FGF20,Q9NP95,Locally secreted
ENSG00000078725,BRINP1,O60477,Intracellular or membrane-bound
ENSG00000078808,SDF4,Q9BRK5,Intracellular or membrane-bound
ENSG00000078898,BPIFB2,Q8N4F0,Intracellular or membrane-bound
ENSG00000079101,CLUL1,Q15846,Locally secreted
ENSG00000079150,FKBP7,Q9Y680,Intracellular or membrane-bound
ENSG00000079385,CEACAM1,P13688,Intracellular or membrane-bound
ENSG00000079557,AFM,P43652,Secreted to blood
ENSG00000079689,SCGN,O76038,Intracellular or membrane-bound
ENSG00000080573,COL5A3,P25940,Locally secreted to extracellular matrix
ENSG00000080910,CFHR2,P36980,Secreted to blood
ENSG00000081041,CXCL2,P19875,Secreted to blood
ENSG00000081051,AFP,P02771,Secreted to blood
ENSG00000081052,COL4A4,P53420,Locally secreted to extracellular matrix
ENSG00000081237,PTPRC,NA,Intracellular or membrane-bound
ENSG00000081842,PCDHA6,Q9UN73,Intracellular or membrane-bound
ENSG00000081913,PHLPP1,O60346,Intracellular or membrane-bound
ENSG00000081985,IL12RB2,Q99665,Intracellular or membrane-bound
ENSG00000082196,C1QTNF3,Q9BXJ4,Secreted to blood
ENSG00000082293,COL19A1,Q14993,Locally secreted to extracellular matrix
ENSG00000082641,NFE2L1,Q14494,Intracellular or membrane-bound
ENSG00000083123,BCKDHB,P21953,Intracellular or membrane-bound
ENSG00000083444,PLOD1,Q02809,Intracellular or membrane-bound
ENSG00000083535,PIBF1,Q8WXW3,Secreted to blood
ENSG00000083720,OXCT1,P55809,Intracellular or membrane-bound
ENSG00000083782,EPYC,Q99645,Locally secreted to extracellular matrix
ENSG00000083857,FAT1,Q14517,Intracellular or membrane-bound
ENSG00000084090,STARD7,Q9NQZ5,Intracellular or membrane-bound
ENSG00000084092,NOA1,Q8NC60,Intracellular or membrane-bound
ENSG00000084636,COL16A1,Q07092,Locally secreted to extracellular matrix
ENSG00000084674,APOB,P04114,Secreted to blood
ENSG00000085063,CD59,P13987,Intracellular or membrane-bound
ENSG00000085265,FCN1,O00602,Secreted to blood
ENSG00000085465,OVGP1,Q12889,Intracellular or membrane-bound
ENSG00000085514,PILRA,Q9UKJ1,Secreted to blood
ENSG00000085552,IGSF9,Q9P2J2,Intracellular or membrane-bound
ENSG00000085741,WNT11,O96014,Locally secreted to extracellular matrix
ENSG00000085832,EPS15,P42566,Intracellular or membrane-bound
ENSG00000086062,B4GALT1,P15291,Intracellular or membrane-bound
ENSG00000086289,EPDR1,Q9UM22,Intracellular or membrane-bound
ENSG00000086619,ERO1B,Q86YB8,Intracellular or membrane-bound
ENSG00000086730,LAT2,Q9GZY6,Intracellular or membrane-bound
ENSG00000087116,ADAMTS2,O95450,Locally secreted to extracellular matrix
ENSG00000087128,TMPRSS11E,Q9UL52,Intracellular or membrane-bound
ENSG00000087237,CETP,P11597,Secreted to blood
ENSG00000087301,TXNDC16,Q9P2K2,Secreted - unknown location
ENSG00000087303,NID2,Q14112,Locally secreted to extracellular matrix
ENSG00000087460,GNAS,"O95467,P63092,P84996,Q5JWF2",Intracellular or membrane-bound
ENSG00000087494,PTHLH,P12272,Locally secreted
ENSG00000088053,GP6,Q9HCN6,Intracellular or membrane-bound
ENSG00000088298,EDEM2,Q9BV94,Intracellular or membrane-bound
ENSG00000088782,DEFB127,Q9H1M4,Locally secreted in male tissues
ENSG00000088812,ATRN,O75882,Secreted to blood
ENSG00000088827,SIGLEC1,Q9BZZ2,Intracellular or membrane-bound
ENSG00000088882,CPXM1,Q96SM3,Locally secreted
ENSG00000089127,OAS1,P00973,Intracellular or membrane-bound
ENSG00000089199,CHGB,P05060,Intracellular or membrane-bound
ENSG00000089248,ERP29,P30040,Intracellular or membrane-bound
ENSG00000089356,FXYD3,Q14802,Intracellular or membrane-bound
ENSG00000089692,LAG3,P18627,Secreted - unknown location
ENSG00000089902,RCOR1,Q9UKL0,Intracellular or membrane-bound
ENSG00000090006,LTBP4,Q8N2S1,Locally secreted to extracellular matrix
ENSG00000090376,IRAK3,Q9Y616,Intracellular or membrane-bound
ENSG00000090382,LYZ,P61626,Secreted to blood
ENSG00000090512,FETUB,Q9UGM5,Secreted to blood
ENSG00000090520,DNAJB11,Q9UBS4,Intracellular or membrane-bound
ENSG00000090530,P3H2,Q8IVL5,Intracellular or membrane-bound
ENSG00000090534,THPO,P40225,Secreted to blood
ENSG00000090539,CHRD,Q9H2X0,Locally secreted
ENSG00000090554,FLT3LG,P49771,Intracellular or membrane-bound
ENSG00000090581,GNPTG,Q9UJJ9,Intracellular or membrane-bound
ENSG00000090659,CD209,Q9NNX6,Intracellular or membrane-bound
ENSG00000091128,LAMB4,A4D0S4,Locally secreted to extracellular matrix
ENSG00000091129,NRCAM,Q92823,Intracellular or membrane-bound
ENSG00000091136,LAMB1,P07942,Locally secreted to extracellular matrix
ENSG00000091513,TF,P02787,Secreted to blood
ENSG00000091583,APOH,P02749,Secreted to blood
ENSG00000091704,CPA1,P15085,Locally secreted to GI-tract
ENSG00000091879,ANGPT2,O15123,Secreted to blood
ENSG00000091986,CCDC80,Q76M96,Locally secreted to extracellular matrix
ENSG00000092009,CMA1,P23946,Secreted to blood
ENSG00000092330,TINF2,Q9BSI4,Intracellular or membrane-bound
ENSG00000092758,COL9A3,Q14050,Locally secreted to extracellular matrix
ENSG00000092969,TGFB2,P61812,Secreted to blood
ENSG00000093072,ADA2,Q9NZK5,Secreted to blood
ENSG00000093134,VNN3,Q9NY84,Secreted to blood
ENSG00000094880,CDC23,Q9UJX2,Intracellular or membrane-bound
ENSG00000095110,NXPE1,Q8N323,Intracellular or membrane-bound
ENSG00000095539,SEMA4G,Q9NTN9,Intracellular or membrane-bound
ENSG00000095587,TLL2,Q9Y6L7,Secreted - unknown location
ENSG00000095713,CRTAC1,Q9NQ79,Locally secreted to extracellular matrix
ENSG00000095752,IL11,P20809,Secreted to blood
ENSG00000095917,TPSD1,Q9BZJ3,Intracellular or membrane-bound
ENSG00000095970,TREM2,Q9NZC2,Intracellular or membrane-bound
ENSG00000096006,CRISP3,P54108,Locally secreted
ENSG00000096088,PGC,P20142,Locally secreted to GI-tract
ENSG00000096384,HSP90AB1,P08238,Intracellular or membrane-bound
ENSG00000096395,MLN,P12872,Secreted to blood
ENSG00000096996,IL12RB1,P42701,Intracellular or membrane-bound
ENSG00000099139,PCSK5,Q92824,Secreted to blood
ENSG00000099250,NRP1,O14786,Locally secreted
ENSG00000099338,CATSPERG,Q6ZRH7,Locally secreted in male tissues
ENSG00000099617,EFNA2,O43921,Intracellular or membrane-bound
ENSG00000099721,AMELY,Q99218,Locally secreted
ENSG00000099769,IGFALS,P35858,Secreted to blood
ENSG00000099834,CDHR5,Q9HBB8,Intracellular or membrane-bound
ENSG00000099840,IZUMO4,Q1ZYL8,Locally secreted in male tissues
ENSG00000099985,OSM,P13725,Secreted to blood
ENSG00000099998,GGT5,P36269,Intracellular or membrane-bound
ENSG00000100031,GGT1,P19440,Intracellular or membrane-bound
ENSG00000100060,MFNG,O00587,Intracellular or membrane-bound
ENSG00000100078,PLA2G3,Q9NZ20,Secreted to blood
ENSG00000100097,LGALS1,P09382,Secreted to blood
ENSG00000100147,CCDC134,Q9H6E4,Secreted to blood
ENSG00000100201,DDX17,Q92841,Intracellular or membrane-bound
ENSG00000100228,RAB36,O95755,Intracellular or membrane-bound
ENSG00000100234,TIMP3,P35625,Locally secreted to extracellular matrix
ENSG00000100299,ARSA,P15289,Intracellular or membrane-bound
ENSG00000100311,PDGFB,P01127,Secreted to blood
ENSG00000100312,ACR,P10323,Locally secreted in male tissues
ENSG00000100336,APOL4,Q9BPW4,Secreted to blood
ENSG00000100342,APOL1,O14791,Secreted to blood
